representation,x,y,stage,stage_id,subject_id
E1,40.21026611328125,4.236926078796387,N3,3,SC400
E1,-4.920473575592041,47.358551025390625,W,0,SC461
E1,37.70319366455078,2.2521305084228516,N1,1,SC461
E1,-19.14106559753418,4.806222915649414,N1,1,SC428
E1,50.14277648925781,5.590792179107666,N3,3,SC428
E1,-7.834606170654297,-14.539426803588867,N2,2,SC433
E1,-12.166513442993164,-3.5530200004577637,N1,1,SC460
E1,46.53241729736328,6.279737949371338,N3,3,SC428
E1,50.25874328613281,4.545638084411621,N3,3,SC428
E1,15.58254623413086,-14.630688667297363,N2,2,SC441
E1,0.8340524435043335,-0.8000956773757935,N1,1,SC433
E1,-5.981016159057617,34.35647201538086,W,0,SC433
E1,-18.28794288635254,0.5997052192687988,N1,1,SC460
E1,-10.816265106201172,31.659406661987305,W,0,SC428
E1,-7.964515209197998,23.634315490722656,W,0,SC451
E1,18.560131072998047,-1.3850431442260742,REM,4,SC461
E1,-10.07766342163086,17.992734909057617,W,0,SC451
E1,-9.483102798461914,38.768550872802734,W,0,SC461
E1,-39.736083984375,-16.418188095092773,REM,4,SC400
E1,44.518089294433594,5.850163459777832,N3,3,SC441
E1,7.964060306549072,-19.237581253051758,N2,2,SC451
E1,50.85801696777344,7.210397243499756,N3,3,SC460
E1,-8.816023826599121,39.41852951049805,W,0,SC425
E1,28.23065757751465,-3.3862438201904297,N3,3,SC425
E1,-10.151639938354492,-7.949263095855713,REM,4,SC451
E1,-3.5244944095611572,35.17142868041992,W,0,SC460
E1,-15.489383697509766,3.4929840564727783,W,0,SC460
E1,-22.70196533203125,0.04006033018231392,REM,4,SC441
E1,1.1181020736694336,3.2018380165100098,W,0,SC441
E1,31.19705581665039,-0.5908600687980652,N3,3,SC461
E1,-29.92123031616211,-11.19918155670166,N1,1,SC425
E1,-33.744232177734375,-15.241866111755371,REM,4,SC428
E1,55.01678466796875,7.688825607299805,N3,3,SC400
E1,-3.8304364681243896,45.50074005126953,W,0,SC433
E1,5.246806621551514,-16.967010498046875,N2,2,SC441
E1,-9.915792465209961,16.34491729736328,W,0,SC451
E1,-19.85159683227539,-17.530832290649414,N1,1,SC400
E1,-33.647239685058594,-11.946382522583008,REM,4,SC400
E1,-5.147258281707764,43.88092041015625,W,0,SC428
E1,-7.364093780517578,29.120271682739258,W,0,SC400
E1,-35.634517669677734,-12.45810604095459,REM,4,SC425
E1,48.87657165527344,5.173160552978516,N3,3,SC441
E1,-12.975869178771973,17.921119689941406,W,0,SC433
E1,-32.18619918823242,-15.808952331542969,REM,4,SC425
E1,1.6477141380310059,-17.74649429321289,N2,2,SC451
E1,-7.053371906280518,-10.979737281799316,REM,4,SC461
E1,16.673049926757812,-10.273679733276367,REM,4,SC460
E1,-33.26786804199219,-5.7026824951171875,REM,4,SC451
E1,-10.160444259643555,33.43492889404297,W,0,SC460
E1,-16.399105072021484,4.223142147064209,N2,2,SC428
E1,-19.13353157043457,-0.8143589496612549,REM,4,SC433
E1,22.236434936523438,-14.29829216003418,N3,3,SC441
E1,-6.222010135650635,39.79628372192383,W,0,SC433
E1,-9.2681884765625,17.025358200073242,W,0,SC400
E1,-4.5462493896484375,37.08391571044922,W,0,SC425
E1,5.61842679977417,-21.96707534790039,N2,2,SC433
E1,-19.40843391418457,4.169286727905273,N1,1,SC400
E1,-7.519547462463379,-7.104491233825684,REM,4,SC460
E1,-8.682717323303223,31.433813095092773,W,0,SC428
E1,-11.572941780090332,-9.216879844665527,N1,1,SC461
E1,14.004408836364746,-8.036330223083496,N3,3,SC451
E1,9.03847885131836,-7.52517557144165,N1,1,SC400
E1,-13.235048294067383,-8.340359687805176,N1,1,SC433
E1,8.364053726196289,-21.946699142456055,N2,2,SC425
E1,-4.648252964019775,35.95798873901367,W,0,SC433
E1,-6.292644500732422,27.561386108398438,W,0,SC428
E1,-32.31890869140625,-1.8168212175369263,N1,1,SC400
E1,-9.386857032775879,22.61087989807129,W,0,SC441
E1,53.408260345458984,7.571829319000244,N3,3,SC428
E1,21.672971725463867,-14.70535945892334,N2,2,SC428
E1,-19.280986785888672,7.068463325500488,N1,1,SC428
E1,-16.20352554321289,10.854952812194824,N1,1,SC428
E1,-7.926537036895752,-6.118502140045166,N2,2,SC428
E1,-9.968628883361816,22.90024757385254,W,0,SC441
E1,22.532331466674805,0.15452715754508972,REM,4,SC461
E1,7.581874847412109,-18.457551956176758,N2,2,SC433
E1,1.7796969413757324,-1.0573102235794067,W,0,SC441
E1,26.342634201049805,-1.6816093921661377,N3,3,SC461
E1,5.732914447784424,-17.88974952697754,N2,2,SC428
E1,-31.558935165405273,-8.142047882080078,REM,4,SC425
E1,-4.386608600616455,45.68060302734375,W,0,SC428
E1,12.89699649810791,-21.94537925720215,N2,2,SC425
E1,17.124420166015625,-19.53152847290039,N2,2,SC428
E1,10.333728790283203,-23.133413314819336,N2,2,SC400
E1,-1.949137806892395,38.97959518432617,W,0,SC428
E1,38.28504943847656,1.3854023218154907,N1,1,SC461
E1,4.494372844696045,-17.724027633666992,N2,2,SC433
E1,-30.717561721801758,-10.295401573181152,REM,4,SC460
E1,18.870817184448242,-16.334558486938477,N2,2,SC461
E1,-16.903430938720703,12.221616744995117,N1,1,SC428
E1,-19.728086471557617,4.991799354553223,N1,1,SC451
E1,19.006549835205078,-17.6547794342041,N3,3,SC425
E1,-5.445902347564697,29.72726821899414,W,0,SC428
E1,-32.05195999145508,-1.4850674867630005,REM,4,SC441
E1,55.45014572143555,7.338958740234375,N3,3,SC400
E1,11.94577693939209,-23.277118682861328,N2,2,SC400
E1,49.062442779541016,3.7305591106414795,N3,3,SC441
E1,-6.1898193359375,-12.341939926147461,N1,1,SC461
E1,26.286867141723633,-11.621546745300293,N3,3,SC425
E1,-11.142522811889648,36.415916442871094,W,0,SC451
E1,42.62603759765625,-0.12443247437477112,N3,3,SC441
E1,6.775128364562988,-14.805477142333984,N2,2,SC461
E1,-19.65079689025879,-16.086957931518555,REM,4,SC441
E1,-23.205595016479492,-4.602039813995361,REM,4,SC441
E1,-33.83707809448242,-0.6061882376670837,N1,1,SC400
E1,43.91763687133789,3.6741602420806885,N3,3,SC428
E1,-37.71841049194336,-13.523443222045898,REM,4,SC428
E1,-8.988069534301758,19.747215270996094,W,0,SC460
E1,-4.2038750648498535,33.82658386230469,W,0,SC441
E1,51.98130416870117,5.856109619140625,N3,3,SC428
E1,39.482215881347656,-0.4403783679008484,N3,3,SC461
E1,-40.41464614868164,-13.86392879486084,REM,4,SC400
E1,-22.160158157348633,-16.920330047607422,REM,4,SC400
E1,4.5609307289123535,-13.172290802001953,N2,2,SC460
E1,51.610557556152344,8.57492446899414,N3,3,SC400
E1,43.14486312866211,4.092431545257568,N3,3,SC461
E1,-15.16531753540039,-8.782586097717285,REM,4,SC461
E1,-19.167736053466797,-15.27625846862793,REM,4,SC441
E1,28.649354934692383,-10.803427696228027,N2,2,SC400
E1,22.72831153869629,-11.754791259765625,REM,4,SC460
E1,-11.78586483001709,14.914656639099121,N1,1,SC425
E1,-22.893199920654297,5.966758728027344,W,0,SC425
E1,-39.94934844970703,-12.946534156799316,REM,4,SC428
E1,-8.294339179992676,-12.948177337646484,N2,2,SC451
E1,28.83905029296875,0.38730794191360474,N3,3,SC400
E1,40.46680450439453,8.114805221557617,N3,3,SC441
E1,-16.889501571655273,0.9259579181671143,N1,1,SC433
E1,-4.495678901672363,39.69256591796875,W,0,SC433
E1,-40.12832260131836,-14.599506378173828,REM,4,SC425
E1,-20.414304733276367,3.0644776821136475,N1,1,SC425
E1,-39.69475173950195,-13.785428047180176,REM,4,SC428
E1,-0.0068747601471841335,-1.5295131206512451,N1,1,SC460
E1,-17.815629959106445,8.898138046264648,W,0,SC451
E1,20.843494415283203,-2.7517006397247314,REM,4,SC461
E1,16.22754669189453,-10.603835105895996,N2,2,SC451
E1,52.8254280090332,7.313351631164551,N3,3,SC428
E1,-5.975366115570068,43.166221618652344,W,0,SC425
E1,16.25863265991211,-11.931416511535645,N2,2,SC460
E1,-9.033112525939941,41.080535888671875,W,0,SC425
E1,6.506734371185303,-13.173090934753418,N2,2,SC461
E1,-37.14014434814453,-10.239005088806152,REM,4,SC428
E1,-0.6433828473091125,-3.199066638946533,N1,1,SC460
E1,51.19212341308594,7.5369343757629395,N3,3,SC428
E1,-13.51936149597168,21.237823486328125,W,0,SC425
E1,48.208438873291016,5.956974029541016,N3,3,SC428
E1,21.37450408935547,1.3583236932754517,N1,1,SC461
E1,1.2973711490631104,-14.913601875305176,N2,2,SC461
E1,30.0219783782959,-7.435347557067871,N3,3,SC441
E1,28.001096725463867,-0.39882174134254456,N3,3,SC425
E1,45.920997619628906,2.6555933952331543,N3,3,SC441
E1,11.101863861083984,-22.867643356323242,N2,2,SC425
E1,-9.161771774291992,1.4722707271575928,W,0,SC461
E1,1.7796212434768677,-11.804293632507324,N2,2,SC451
E1,-23.603796005249023,-9.816280364990234,REM,4,SC428
E1,3.6210103034973145,-17.232582092285156,N2,2,SC433
E1,-24.98988914489746,-11.394497871398926,REM,4,SC441
E1,-5.705755710601807,30.851781845092773,W,0,SC433
E1,25.308137893676758,-12.072794914245605,N2,2,SC441
E1,-20.71509552001953,5.647311210632324,N1,1,SC428
E1,28.076993942260742,-5.21386194229126,N3,3,SC451
E1,-21.694927215576172,-0.943416953086853,REM,4,SC433
E1,2.882383108139038,-19.51372528076172,N2,2,SC460
E1,-23.304439544677734,-7.562291622161865,REM,4,SC425
E1,2.7684574127197266,-15.244806289672852,N2,2,SC428
E1,-6.1592793464660645,41.611549377441406,W,0,SC428
E1,3.3123152256011963,-14.767107009887695,N2,2,SC451
E1,-19.1953125,4.351866245269775,N1,1,SC425
E1,0.5806010961532593,-18.417179107666016,N1,1,SC433
E1,-17.94505500793457,10.697942733764648,N1,1,SC428
E1,-1.3738985061645508,39.36015701293945,W,0,SC425
E1,-4.009771823883057,44.82556915283203,W,0,SC428
E1,-5.829687595367432,42.627235412597656,W,0,SC400
E1,26.015823364257812,-4.884798049926758,N3,3,SC441
E1,55.2022819519043,6.744906902313232,N3,3,SC400
E1,-34.47743606567383,-10.432266235351562,N1,1,SC400
E1,-32.86856460571289,-7.433931350708008,REM,4,SC425
E1,-15.713868141174316,11.743823051452637,N1,1,SC451
E1,51.246150970458984,6.4085187911987305,N3,3,SC428
E1,53.91166687011719,5.560493469238281,N3,3,SC428
E1,2.29538631439209,-20.075942993164062,N2,2,SC460
E1,52.4807243347168,4.302835464477539,N3,3,SC400
E1,-12.870752334594727,-8.874530792236328,N1,1,SC460
E1,7.041000843048096,-21.431560516357422,N2,2,SC433
E1,32.25408172607422,2.059095621109009,N3,3,SC441
E1,19.82590103149414,-18.56536865234375,N3,3,SC425
E1,-17.289880752563477,12.158766746520996,N1,1,SC451
E1,40.759918212890625,7.016256809234619,N3,3,SC460
E1,-8.890305519104004,23.171091079711914,W,0,SC441
E1,-4.177400588989258,41.62465286254883,W,0,SC460
E1,42.95661544799805,3.0445804595947266,N3,3,SC460
E1,36.18578338623047,-0.8959265947341919,N3,3,SC425
E1,-25.37350082397461,-7.282040119171143,REM,4,SC460
E1,-13.08497428894043,5.929100036621094,N1,1,SC425
E1,19.7601375579834,-18.49812126159668,N3,3,SC425
E1,36.878562927246094,3.8485076427459717,N3,3,SC461
E1,-3.509124994277954,46.09547805786133,W,0,SC428
E1,25.990007400512695,-11.60938835144043,N3,3,SC425
E1,-8.131451606750488,-2.321167469024658,N1,1,SC433
E1,-15.821053504943848,16.727657318115234,W,0,SC428
E1,-27.505722045898438,-3.2422118186950684,N1,1,SC425
E1,-34.63600158691406,-13.113865852355957,REM,4,SC425
E1,5.7395501136779785,-20.060726165771484,N2,2,SC433
E1,-6.5925750732421875,26.730817794799805,W,0,SC400
E1,-5.643139362335205,37.12627029418945,W,0,SC425
E1,21.482973098754883,-1.172242283821106,N2,2,SC461
E1,-5.416589736938477,32.53675079345703,W,0,SC441
E1,2.5224947929382324,-21.693645477294922,N1,1,SC433
E1,44.54232406616211,1.945438027381897,N3,3,SC441
E1,-33.75483703613281,-3.944023370742798,N1,1,SC451
E1,-29.531469345092773,-3.0150017738342285,REM,4,SC451
E1,19.221052169799805,-13.12358570098877,N2,2,SC441
E1,-33.99449920654297,-7.5172271728515625,REM,4,SC433
E1,-10.379339218139648,20.584796905517578,W,0,SC460
E1,-1.6102033853530884,-14.236757278442383,N2,2,SC433
E1,-10.94210433959961,16.9589900970459,W,0,SC460
E1,20.498159408569336,-4.1870198249816895,N3,3,SC441
E1,23.2031307220459,-14.727286338806152,N2,2,SC400
E1,-3.2397594451904297,33.17525100708008,W,0,SC460
E1,35.668880462646484,-2.401723861694336,N3,3,SC460
E1,-32.826759338378906,-10.977179527282715,REM,4,SC433
E1,30.142236709594727,0.26725876331329346,N3,3,SC461
E1,-1.8609089851379395,44.9461784362793,W,0,SC425
E1,3.7581253051757812,-21.055545806884766,N2,2,SC460
E1,43.772579193115234,1.3729311227798462,N3,3,SC441
E1,24.671220779418945,-4.299632549285889,N3,3,SC460
E1,43.34379959106445,6.142462253570557,N3,3,SC441
E1,-10.094529151916504,-8.45931339263916,N1,1,SC451
E1,4.774672985076904,-1.6777440309524536,N1,1,SC460
E1,27.774518966674805,-10.893548011779785,N3,3,SC460
E1,16.50481605529785,-11.12038803100586,N2,2,SC461
E1,22.857751846313477,-4.8609209060668945,N3,3,SC460
E1,-6.27325439453125,29.55415153503418,W,0,SC460
E1,-25.729185104370117,-1.0515727996826172,REM,4,SC451
E1,-7.854511737823486,-1.763919711112976,REM,4,SC460
E1,-8.678862571716309,25.61968421936035,W,0,SC428
E1,-34.5962028503418,-18.248199462890625,REM,4,SC428
E1,-6.58311653137207,45.686500549316406,W,0,SC461
E1,13.588507652282715,-20.952211380004883,N2,2,SC428
E1,19.22554588317871,-9.050533294677734,N2,2,SC461
E1,-2.7158336639404297,44.37458419799805,W,0,SC433
E1,30.723491668701172,-2.7173144817352295,N2,2,SC461
E1,-32.507991790771484,-12.774571418762207,N1,1,SC425
E1,4.781468868255615,-20.729537963867188,N2,2,SC433
E1,0.7161019444465637,1.672493577003479,N1,1,SC441
E1,-13.398994445800781,19.833749771118164,W,0,SC433
E1,-11.446842193603516,-3.51466965675354,N1,1,SC451
E1,-25.629425048828125,-0.4018881618976593,N1,1,SC425
E1,-17.488750457763672,-13.63491153717041,N2,2,SC425
E1,-5.927657127380371,-15.249505996704102,N1,1,SC433
E1,-22.571521759033203,-4.145413875579834,N1,1,SC400
E1,-0.21253830194473267,-0.9702908396720886,N1,1,SC433
E1,-33.207313537597656,-0.9209409356117249,REM,4,SC441
E1,-15.481096267700195,-1.4285868406295776,N1,1,SC433
E1,-16.427064895629883,13.287186622619629,N1,1,SC428
E1,-28.13228988647461,-3.9730722904205322,REM,4,SC451
E1,-5.1004109382629395,-9.031400680541992,N2,2,SC451
E1,-6.823143482208252,-7.089008331298828,N2,2,SC441
E1,-29.209341049194336,-16.681133270263672,N1,1,SC400
E1,-28.983510971069336,-2.819610834121704,REM,4,SC451
E1,19.71839141845703,-18.016544342041016,N3,3,SC425
E1,-11.0764799118042,21.814891815185547,W,0,SC441
E1,-7.993954658508301,34.34414291381836,W,0,SC428
E1,42.43937301635742,4.605905055999756,N3,3,SC461
E1,-1.4216564893722534,39.75374221801758,W,0,SC433
E1,11.875458717346191,-24.018556594848633,N2,2,SC400
E1,1.9548622369766235,-3.9222021102905273,REM,4,SC461
E1,43.32878494262695,6.894066333770752,N3,3,SC441
E1,-5.03602933883667,38.41959762573242,W,0,SC425
E1,-4.62894868850708,-8.816601753234863,N2,2,SC451
E1,-16.40213966369629,12.527283668518066,N1,1,SC428
E1,7.128884315490723,-9.384800910949707,N2,2,SC460
E1,-8.21964168548584,13.896858215332031,W,0,SC428
E1,11.700573921203613,-23.143959045410156,N2,2,SC400
E1,14.645181655883789,-8.612872123718262,N2,2,SC451
E1,22.279754638671875,-4.545530319213867,N1,1,SC460
E1,-18.94945526123047,3.0611765384674072,N1,1,SC428
E1,-5.94455623626709,-14.872239112854004,N1,1,SC433
E1,-5.160143852233887,45.318443298339844,W,0,SC433
E1,-39.360416412353516,-11.346246719360352,REM,4,SC400
E1,-2.807075023651123,-15.345969200134277,N2,2,SC428
E1,-15.74514102935791,14.495615005493164,W,0,SC460
E1,-13.663886070251465,-14.022916793823242,W,0,SC451
E1,19.42144012451172,-12.387673377990723,N2,2,SC451
E1,6.910953521728516,-9.547524452209473,N1,1,SC460
E1,-17.873720169067383,2.0322861671447754,N1,1,SC433
E1,-1.4100093841552734,41.693790435791016,W,0,SC451
E1,-23.164045333862305,-9.12814712524414,REM,4,SC460
E1,24.032920837402344,-6.149579048156738,N2,2,SC460
E1,-26.626880645751953,-12.548365592956543,REM,4,SC460
E1,-4.833855628967285,44.65843200683594,W,0,SC433
E1,-39.77035903930664,-17.494930267333984,REM,4,SC428
E1,-31.293941497802734,-1.7664391994476318,REM,4,SC441
E1,-7.077130317687988,-2.406038522720337,N2,2,SC400
E1,-21.29283905029297,-11.275762557983398,REM,4,SC425
E1,-10.33173942565918,19.195369720458984,W,0,SC400
E1,43.07032012939453,0.8381662964820862,N3,3,SC428
E1,1.2101097106933594,2.577629327774048,W,0,SC428
E1,20.939632415771484,-11.849893569946289,N1,1,SC460
E1,12.70272445678711,-10.420645713806152,N1,1,SC460
E1,3.823709487915039,-23.15094566345215,N2,2,SC425
E1,41.35182189941406,-0.4881173372268677,N3,3,SC461
E1,-8.01547622680664,-10.956119537353516,N2,2,SC451
E1,-18.36785888671875,15.987249374389648,W,0,SC400
E1,-10.05447006225586,35.0290412902832,W,0,SC425
E1,34.71782684326172,0.926260769367218,REM,4,SC461
E1,34.018131256103516,-0.5830910205841064,N3,3,SC460
E1,-16.20301055908203,-0.28046244382858276,W,0,SC461
E1,19.427885055541992,-15.65645694732666,N2,2,SC425
E1,-37.85746765136719,-12.994985580444336,REM,4,SC428
E1,-9.459991455078125,20.903244018554688,W,0,SC441
E1,27.019630432128906,-0.11027485877275467,N3,3,SC461
E1,-17.364408493041992,-10.422158241271973,N2,2,SC441
E1,17.826807022094727,-19.633922576904297,N3,3,SC425
E1,22.61634635925293,-13.549166679382324,N3,3,SC425
E1,-9.907428741455078,38.25146484375,W,0,SC425
E1,-5.717668533325195,45.96602249145508,W,0,SC425
E1,-35.550838470458984,-18.57747459411621,REM,4,SC400
E1,-24.119613647460938,-3.4649477005004883,N1,1,SC428
E1,-9.548575401306152,-6.516953945159912,N1,1,SC460
E1,25.546302795410156,-6.0342698097229,N2,2,SC400
E1,-6.927727222442627,-10.69042682647705,N1,1,SC460
E1,-1.2104344367980957,41.15620422363281,W,0,SC451
E1,22.217275619506836,-2.4271202087402344,N3,3,SC461
E1,5.387058734893799,-10.27078914642334,N1,1,SC441
E1,-2.9708311557769775,-9.3194580078125,REM,4,SC460
E1,-6.245809555053711,46.49849319458008,W,0,SC461
E1,-28.739290237426758,-10.930646896362305,REM,4,SC433
E1,-31.16629409790039,-0.6597381830215454,REM,4,SC433
E1,46.187110900878906,2.275106906890869,N3,3,SC428
E1,48.70844650268555,8.170806884765625,N3,3,SC400
E1,-5.943178176879883,30.85105323791504,W,0,SC441
E1,-13.370118141174316,21.15584373474121,W,0,SC400
E1,-34.677310943603516,-6.6935505867004395,REM,4,SC441
E1,-15.354024887084961,1.8433635234832764,N1,1,SC441
E1,-12.276371955871582,-0.3120119273662567,N1,1,SC460
E1,-5.352422714233398,-1.2809091806411743,N1,1,SC441
E1,-5.6854352951049805,-14.03015422821045,N2,2,SC441
E1,21.09758758544922,1.4635988473892212,REM,4,SC461
E1,-13.027647972106934,11.552623748779297,N1,1,SC425
E1,41.6458854675293,1.7788560390472412,N3,3,SC461
E1,1.3629000186920166,-20.830007553100586,N2,2,SC441
E1,35.51702880859375,-1.0143640041351318,N3,3,SC441
E1,55.07646942138672,5.637877941131592,N3,3,SC400
E1,-32.817195892333984,-5.793542861938477,REM,4,SC451
E1,-12.385177612304688,5.935116291046143,N1,1,SC400
E1,-9.467401504516602,37.65884017944336,W,0,SC460
E1,22.49016761779785,-14.57715129852295,N2,2,SC441
E1,20.384071350097656,-3.704488515853882,N2,2,SC461
E1,52.14238357543945,6.19753360748291,N3,3,SC428
E1,21.70966339111328,-5.6483612060546875,N3,3,SC460
E1,39.998802185058594,1.7722201347351074,N3,3,SC461
E1,-33.4780387878418,-6.571936130523682,REM,4,SC451
E1,33.97636413574219,1.710282564163208,N3,3,SC460
